|all||safe||mid||off||sup||ban1||
| {{:hero:28.png?nolink&50|}} |100%| {{:hero:80.png?nolink&50|}} |100%| {{:hero:80.png?nolink&50|}} |100%| {{:hero:28.png?nolink&50|}} |100%| {{:hero:79.png?nolink&50|}} |100%| {{:hero:107.png?nolink&50|}} |100%|
| {{:hero:79.png?nolink&50|}} |100%| {{:hero:48.png?nolink&50|}} |80%| {{:hero:13.png?nolink&50|}} |60%| {{:hero:96.png?nolink&50|}} |100%| {{:hero:107.png?nolink&50|}} |100%| {{:hero:96.png?nolink&50|}} |100%|
| {{:hero:80.png?nolink&50|}} |100%| {{:hero:109.png?nolink&50|}} |80%| {{:hero:35.png?nolink&50|}} |60%| {{:hero:16.png?nolink&50|}} |60%| {{:hero:16.png?nolink&50|}} |60%| {{:hero:80.png?nolink&50|}} |100%|
| {{:hero:96.png?nolink&50|}} |100%| {{:hero:18.png?nolink&50|}} |40%| {{:hero:82.png?nolink&50|}} |60%| {{:hero:51.png?nolink&50|}} |60%| {{:hero:52.png?nolink&50|}} |60%| {{:hero:82.png?nolink&50|}} |60%|
| {{:hero:107.png?nolink&50|}} |100%| {{:hero:54.png?nolink&50|}} |40%| {{:hero:25.png?nolink&50|}} |40%| {{:hero:55.png?nolink&50|}} |60%| {{:hero:75.png?nolink&50|}} |60%| {{:hero:14.png?nolink&50|}} |40%|
| {{:hero:48.png?nolink&50|}} |80%| {{:hero:6.png?nolink&50|}} |20%| {{:hero:106.png?nolink&50|}} |40%| {{:hero:65.png?nolink&50|}} |60%| {{:hero:14.png?nolink&50|}} |40%| {{:hero:108.png?nolink&50|}} |60%|
| {{:hero:109.png?nolink&50|}} |80%| {{:hero:19.png?nolink&50|}} |20%| {{:hero:11.png?nolink&50|}} |20%| {{:hero:63.png?nolink&50|}} |40%| {{:hero:25.png?nolink&50|}} |40%| {{:hero:48.png?nolink&50|}} |80%|
| {{:hero:13.png?nolink&50|}} |60%| {{:hero:76.png?nolink&50|}} |20%| {{:hero:19.png?nolink&50|}} |20%| {{:hero:88.png?nolink&50|}} |40%| {{:hero:30.png?nolink&50|}} |40%| {{:hero:1.png?nolink&50|}} |0%|
| {{:hero:16.png?nolink&50|}} |60%| {{:hero:81.png?nolink&50|}} |20%| {{:hero:23.png?nolink&50|}} |20%| {{:hero:61.png?nolink&50|}} |20%| {{:hero:50.png?nolink&50|}} |40%| {{:hero:2.png?nolink&50|}} |0%|
| {{:hero:35.png?nolink&50|}} |60%| {{:hero:1.png?nolink&50|}} |0%| {{:hero:39.png?nolink&50|}} |20%| {{:hero:97.png?nolink&50|}} |20%| {{:hero:66.png?nolink&50|}} |40%| {{:hero:3.png?nolink&50|}} |0%|
